,ZIP3,exit_2007,exit_2008,exit_2015,exit_2016,exit_2006_2016
334,416,0.0,0.0,0.0,0.0,0.0
335,418,0.0,0.0,0.0,0.0,0.0
336,420,0.0,-1.0,0.0,0.0,-4.0
337,421,0.0,0.0,0.0,0.0,0.0
338,422,0.0,-1.0,0.0,0.0,-1.0
339,423,0.0,0.0,0.0,0.0,-1.0
340,424,-1.0,0.0,-1.0,0.0,-2.0
341,425,0.0,-1.0,0.0,0.0,-2.0
342,426,-1.0,0.0,0.0,0.0,-1.0
343,427,0.0,-2.0,0.0,0.0,-3.0
344,430,0.0,-1.0,0.0,0.0,-2.0
345,431,-1.0,-1.0,0.0,0.0,-4.0
346,432,0.0,0.0,0.0,-2.0,-1.0
347,433,-1.0,0.0,0.0,0.0,-4.0
348,434,0.0,0.0,-2.0,0.0,-3.0
349,435,-4.0,0.0,0.0,0.0,-9.0
350,436,-1.0,0.0,0.0,0.0,-1.0
351,437,-1.0,0.0,0.0,0.0,-1.0
352,438,0.0,0.0,0.0,0.0,0.0
353,439,-1.0,0.0,0.0,0.0,-1.0
354,440,-3.0,-1.0,-1.0,0.0,-4.0
355,441,-1.0,0.0,0.0,0.0,-1.0
356,442,0.0,-1.0,0.0,0.0,-1.0
