,year,county,cnt
880,2006,26117,4
881,2006,26123,2
882,2006,26127,1
883,2006,26129,2
884,2006,26131,2
885,2006,26133,2
886,2006,26135,2
887,2006,26137,4
888,2006,26143,2
889,2006,26145,9
890,2006,26147,9
891,2006,26149,1
892,2006,26151,4
893,2006,26153,5
894,2006,26155,3
895,2006,26157,1
896,2006,26159,3
897,2006,26161,8
898,2006,26163,24
899,2006,26165,5
900,2006,27003,7
901,2006,27005,1
902,2006,27007,5
903,2006,27009,3
904,2006,27011,2
905,2006,27013,3
906,2006,27017,3
907,2006,27019,3
908,2006,27021,3
909,2006,27023,3
910,2006,27025,2
911,2006,27027,1
912,2006,27033,2
913,2006,27035,2
914,2006,27037,7
915,2006,27041,1
916,2006,27043,2
917,2006,27047,3
918,2006,27049,2
919,2006,27053,3
920,2006,27061,5
921,2006,27063,1
922,2006,27067,3
923,2006,27069,2
924,2006,27071,3
925,2006,27073,1
926,2006,27075,1
927,2006,27083,3
928,2006,27085,1
929,2006,27091,3
930,2006,27093,1
931,2006,27095,2
932,2006,27097,3
933,2006,27099,4
934,2006,27101,1
935,2006,27105,4
936,2006,27111,4
937,2006,27113,1
938,2006,27115,3
939,2006,27117,1
940,2006,27119,2
941,2006,27123,2
942,2006,27129,3
943,2006,27131,2
944,2006,27135,1
945,2006,27137,7
946,2006,27139,5
947,2006,27141,1
948,2006,27143,1
949,2006,27145,10
950,2006,27147,3
951,2006,27149,1
952,2006,27151,3
953,2006,27165,2
954,2006,27167,1
955,2006,27169,4
956,2006,27171,4
957,2006,28001,3
958,2006,28003,4
959,2006,28007,2
960,2006,28009,1
961,2006,28011,2
962,2006,28015,2
963,2006,28017,1
964,2006,28023,2
965,2006,28025,4
966,2006,28027,3
967,2006,28029,2
968,2006,28031,1
969,2006,28033,2
970,2006,28035,5
971,2006,28037,2
972,2006,28039,1
973,2006,28041,1
974,2006,28043,4
975,2006,28045,1
976,2006,28047,9
977,2006,28049,5
978,2006,28051,1
979,2006,28057,2
980,2006,28059,2
981,2006,28061,6
982,2006,28067,7
983,2006,28069,1
984,2006,28073,5
985,2006,28075,8
986,2006,28081,7
987,2006,28083,3
988,2006,28085,4
989,2006,28087,4
990,2006,28089,7
991,2006,28091,3
992,2006,28093,4
993,2006,28095,3
994,2006,28097,1
995,2006,28099,2
996,2006,28101,2
997,2006,28107,3
998,2006,28109,2
999,2006,28111,4
1000,2006,28113,3
1001,2006,28115,3
1002,2006,28117,4
1003,2006,28121,9
1004,2006,28123,1
1005,2006,28127,1
1006,2006,28129,1
1007,2006,28131,2
1008,2006,28137,2
1009,2006,28139,4
1010,2006,28145,3
1011,2006,28147,1
1012,2006,28149,3
1013,2006,28151,3
1014,2006,28153,1
1015,2006,28159,2
1016,2006,28161,2
1017,2006,28163,1
1018,2006,29003,2
1019,2006,29005,3
1020,2006,29007,1
1021,2006,29009,2
1022,2006,29011,2
1023,2006,29013,1
1024,2006,29019,2
1025,2006,29021,8
1026,2006,29023,2
1027,2006,29027,6
1028,2006,29031,4
1029,2006,29033,1
1030,2006,29035,1
1031,2006,29037,3
1032,2006,29043,1
1033,2006,29045,2
1034,2006,29047,5
1035,2006,29049,1
1036,2006,29051,1
1037,2006,29053,3
1038,2006,29055,1
1039,2006,29061,2
1040,2006,29063,2
1041,2006,29069,1
1042,2006,29071,3
1043,2006,29077,11
1044,2006,29081,4
1045,2006,29083,2
1046,2006,29087,1
1047,2006,29091,2
1048,2006,29095,10
1049,2006,29097,9
1050,2006,29099,5
1051,2006,29105,1
