,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
245,12031,-1.0,-1.0,0.0,1.0,-3.0
246,12033,0.0,-1.0,0.0,0.0,-2.0
247,12039,0.0,0.0,0.0,0.0,-1.0
248,12047,0.0,0.0,0.0,0.0,2.0
249,12051,0.0,0.0,0.0,0.0,-1.0
250,12053,0.0,0.0,0.0,0.0,0.0
251,12055,0.0,0.0,0.0,0.0,-1.0
252,12057,1.0,0.0,0.0,-1.0,-3.0
253,12061,0.0,0.0,0.0,0.0,0.0
254,12063,0.0,0.0,-1.0,0.0,-2.0
255,12065,-1.0,0.0,0.0,0.0,-1.0
256,12067,0.0,0.0,0.0,0.0,1.0
257,12069,3.0,0.0,0.0,-1.0,2.0
258,12071,0.0,0.0,1.0,0.0,-1.0
259,12079,0.0,-1.0,0.0,0.0,0.0
260,12081,0.0,0.0,0.0,1.0,1.0
261,12083,0.0,0.0,0.0,0.0,1.0
262,12086,-1.0,1.0,0.0,0.0,0.0
263,12087,0.0,1.0,0.0,0.0,0.0
264,12091,0.0,0.0,0.0,0.0,-1.0
265,12093,0.0,0.0,0.0,0.0,1.0
266,12095,1.0,-1.0,0.0,0.0,0.0
267,12097,0.0,0.0,0.0,0.0,-1.0
268,12099,1.0,-1.0,0.0,0.0,2.0
269,12101,0.0,0.0,-1.0,0.0,1.0
270,12103,0.0,0.0,0.0,0.0,-1.0
271,12105,0.0,-1.0,-2.0,-1.0,-1.0
272,12107,0.0,0.0,0.0,0.0,0.0
273,12109,0.0,0.0,0.0,0.0,0.0
274,12111,0.0,0.0,1.0,0.0,-1.0
275,12113,0.0,0.0,0.0,0.0,1.0
276,12115,0.0,0.0,0.0,0.0,1.0
277,12117,1.0,0.0,0.0,0.0,0.0
278,12119,0.0,0.0,0.0,0.0,1.0
279,12121,0.0,0.0,0.0,-1.0,-1.0
280,12123,1.0,0.0,0.0,0.0,1.0
281,12125,0.0,0.0,0.0,0.0,0.0
282,12127,1.0,-1.0,0.0,0.0,-1.0
283,12129,0.0,0.0,0.0,0.0,0.0
284,12131,0.0,0.0,1.0,0.0,0.0
285,13001,0.0,0.0,0.0,0.0,1.0
286,13003,0.0,0.0,0.0,-1.0,-1.0
287,13005,0.0,0.0,0.0,0.0,1.0
