REPORT_DATE,FATALITIES,STATE,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
2023-10-15,1,CA,6107,-1.0,0.0,0.0,0.0,0.0,0,0,0,0,Tulare,-118.8004216,36.22081997,W,Growth Management,green,Los Angeles,#d62728,Reform
2024-06-20,1,WA,53033,0.0,0.0,0.0,0.0,-3.0,0,0,0,0,King,-121.8063614,47.49034831,W,Containment,green,Seattle,#d62728,Reform
2024-06-21,2,VA,51153,0.0,-1.0,0.0,0.0,-1.0,0,0,0,0,Prince William,-77.48028729,38.70276099,S,Containment-Lite,green,Washington (DC),#1f77b4,Reform
2024-06-18,1,SC,45063,-4.0,4.0,1.0,0.0,1.0,0,0,0,0,Lexington,-81.27229853,33.90217281,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-04-05,1,NJ,34013,0.0,-1.0,0.0,0.0,-1.0,0,0,0,0,Essex,-74.24718209,40.78746195,NE,High Density,orange,New York (NY),#9edae5,Traditional
2024-06-14,1,KY,21029,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,Bullitt,-85.69808753,37.97000785,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
2024-05-09,1,NY,36055,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Monroe,-77.69595887,43.14694904,NE,Middle America,orange,Rochester,#9edae5,Traditional
2024-06-01,1,SC,45079,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,Richland,-80.90384361,34.02226754,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-04-27,1,LA,22061,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Lincoln,-92.66473671,32.60149394,S,Containment,green,Memphis (AR),#1f77b4,Reform
2024-01-01,1,MI,26163,-5.0,-2.0,-2.0,1.0,-5.0,0,0,0,0,Wayne,-83.28221321,42.28172038,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
2024-06-03,1,TN,47037,1.0,0.0,0.0,0.0,1.0,0,0,0,0,Davidson,-86.78502875,36.16932462,S,Containment,green,Nashville,#1f77b4,Reform
2024-04-05,1,NE,31105,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Kimball,-103.7149939,41.19760039,W,Growth Control,green,Denver,#d62728,Reform
2024-05-18,1,NV,32015,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Lander,-117.0390723,39.93361994,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2022-04-18,1,NJ,34033,0.0,0.0,0.0,0.0,2.0,0,0,0,0,Salem,-75.34910669,39.58787069,NE,Middle America,orange,Philadelphia (PA),#9edae5,Traditional
2024-03-26,1,CA,6033,0.0,0.0,1.0,0.0,0.0,0,0,0,0,Lake,-122.7532352,39.0996887,W,Growth Management,green,Sacramento,#d62728,Reform
2024-05-18,1,AL,1073,0.0,-1.0,0.0,0.0,-3.0,0,0,0,0,Jefferson,-86.89657084,33.5543433,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-03-08,1,CA,6071,1.0,-4.0,-3.0,1.0,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-04-25,2,CA,6073,0.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,San Diego,-116.7353982,33.03386576,W,Growth Management,green,San Diego,#d62728,Reform
2023-12-17,1,CA,6031,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Kings,-119.8151995,36.07520008,W,Growth Management,green,Los Angeles,#d62728,Reform
2024-04-21,1,NE,31019,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Buffalo,-99.07510068,40.85504881,MW,Middle America,orange,Kansas City (KS),#f7b6d2,Traditional
2024-03-31,1,OK,40143,0.0,0.0,1.0,-1.0,0.0,0,0,0,0,Tulsa,-95.94143178,36.12121947,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2023-07-16,1,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
2024-04-29,1,KY,21029,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,Bullitt,-85.69808753,37.97000785,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
2024-04-26,1,AL,1015,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-04-03,2,LA,22097,0.0,0.0,1.0,0.0,-1.0,0,0,0,0,St. Landry,-92.00579532,30.59908084,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
2023-06-01,1,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
