CRASH_ID,REPORT_STATE,REPORT_DATE,REPORT_SEQ_NO,LOCATION,CITY_CODE,CITY,STATE,COUNTY_CODE,CARGO_BODY_TYPE_ID,VEHICLE_IDENTIFICATION_NUMBER,VEHICLE_LICENSE_NUMBER,VEHICLE_CONFIGURATION_ID,VEHICLES_IN_ACCIDENT,FATALITIES,INJURIES,CRASH_EVENT_SEQ_ID_DESC
3994425,OK,20200607,2,INTERSTATE 44 EAST BOUND,,BRISTOW,OK,37.0,3.0,1XKYD49X3LJ379108,AG71940,9.0,2.0,0,0,3:18:COLLISION INVOLVING FIXED OBJECT;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
3999396,MI,20200623,1,W I 94,,Detroit,MI,163.0,3.0,3AKJGLD5XFSGC7153,P913177,9.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:2:NONCOLLISION:JACKKNIFE
3999397,MI,20200623,2,W I 94,,Detroit,MI,163.0,6.0,1NPCLK0X4JD496100,BB70153,6.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:10:NONCOLLISION:OTHER
4000920,AL,20200622,1,I-22,,Rural Walker,AL,127.0,3.0,3AKJGLDR9HSJC2501,95720,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4000921,AL,20200622,2,I-22,,Rural Walker,AL,127.0,3.0,1HTEUMML7LH808733,XER06,5.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4001078,NC,20200311,1,2105 BARNES ST,,REIDSVILLE,NC,157.0,98.0,3HSCUAPRAN063379,JB59BS,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4001079,NC,20200311,2,2105 BARNES ST,,REIDSVILLE,NC,157.0,1.0,3AKJHHDR9KSXC5515,W28225,3.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4004821,CT,20200722,1,95-N,,Orange,CT,9.0,3.0,3ALXGF005HDGX5740,P930320,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4004822,CT,20200722,2,95-N,,Orange,CT,9.0,3.0,3AKJGEDV3LDLV1038,2850744,9.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4006696,TN,20200727,1,I-75  SOUTH,,KNOXVILLE,TN,93.0,13.0,3HSDWTRZ8KN579100,3010411,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4006697,TN,20200727,2,I-75  SOUTH,,KNOXVILLE,TN,93.0,13.0,3AKJGLD52ESFX3852,C043CY,7.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4007253,NC,20200726,1,PILOT TRUCK STOP,,TROUTMAN,NC,97.0,98.0,4V4NC9EH9KN905363,L7770574,6.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4007254,NC,20200726,2,PILOT TRUCK STOP,,TROUTMAN,NC,97.0,3.0,3HSDZAPR0KN362963,H3795HY,7.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4007636,FL,20200710,1,INTERSTATE 4 (STATE ROAD 400),,KISSIMMEE,FL,97.0,5.0,1NKZL40X9LJ388992,P1269C,6.0,3.0,1,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4007637,FL,20200710,2,INTERSTATE 4 (STATE ROAD 400),,KISSIMMEE,FL,97.0,3.0,4VG7DARJ4XN774437,JB15BN,7.0,3.0,1,0,1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;2:12:COLLISION INVOLVING PEDESTRIAN;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4007638,FL,20200710,3,INTERSTATE 4 (STATE ROAD 400),,KISSIMMEE,FL,97.0,12.0,1FUJA6CG83LK39286,JB16GL,8.0,3.0,1,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:18:COLLISION INVOLVING FIXED OBJECT
4008288,NC,20200729,1,PILOT TRUCK STOP PVA,,WAYNESVILLE,NC,87.0,5.0,3HSDZAPR5LN809417,K2775HY,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4008289,NC,20200729,2,PILOT TRUCK STOP PVA,,WAYNESVILLE,NC,87.0,3.0,1FUJGLD57GLGW4436,C815HY,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4011370,NC,20200730,1,MANESS TIRE,,ROCKINGHAM,NC,153.0,98.0,1XP5DB9X4XN459954,MR7047,9.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4011371,NC,20200730,2,MANESS TIRE,,ROCKINGHAM,NC,153.0,98.0,1FUJBBCK07LZ22602,NH4613,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4011560,CA,20200724,1,SR99 SB/.3m N LERDO HWY,,UNINCORPORATED,CA,29.0,13.0,1XKYD49XEJ416055,XP28091,9.0,2.0,0,1,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4011561,CA,20200724,2,SR99 SB/.3m N LERDO HWY,,UNINCORPORATED,CA,29.0,4.0,1XPBD49X6JD480977,9B59EY,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4012821,CA,20200807,1,RT58/.7m  W HART FLAT RD,,UNINCORPORATED,CA,29.0,98.0,3AKJGLBG4FSGF8595,29AS6H,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4012822,CA,20200807,2,RT58/.7m  W HART FLAT RD,,UNINCORPORATED,CA,29.0,98.0,1FDRF3H60DEB52557,30926R1,7.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4012832,CA,20200727,1,MOUNT WHITNEY AV/.1m W NAPA AV,,UNINCORPORATED,CA,19.0,98.0,1FUBF6CV49DAD8670,9E13061,10.0,2.0,0,2,4:3:NONCOLLISION:OVERTURN (ROLLOVER);2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
4012833,CA,20200727,2,MOUNT WHITNEY AV/.1m W NAPA AV,,UNINCORPORATED,CA,19.0,98.0,2NKMHZ6X55M117634,7P91874,5.0,2.0,0,2,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4013913,CA,20200807,1,RT99/751ft N AVE 80 PD OC,,UNINCORPORATED,CA,107.0,98.0,1HSDJAPR9FH117926,2290393,9.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
4013914,CA,20200807,2,RT99/751ft N AVE 80 PD OC,,UNINCORPORATED,CA,107.0,98.0,4V4NC9EG5EN169095,P956323,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4014043,GA,20200717,1,EXPY NW   DONALD LEE HOLLOWELL,,ATLANTA,GA,121.0,3.0,1FUBGBDV8CSBK8917,P426862,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4014044,GA,20200717,2,I-285 NW  DONALD LEE HOLLOWELL PKWY,,ATLANTA,GA,121.0,98.0,1HTMMAAMX5H686072,,5.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4015886,IL,20200522,1,W NORTH AVE,,Chicago,IL,31.0,98.0,UNKNOWN,2504516,99.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4015888,IL,20200522,1,W ADDISON ST,,Chicago,IL,31.0,3.0,4V4MC9EH6CN556885,P798256,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4016410,FL,20200814,1,CHAT HOLLY RD,,SANTA ROSA BEACH,FL,131.0,3.0,1GD37SCG8G1121923,Y99EZK,5.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4016411,FL,20200814,2,CHAT HOLLY RD,,SANTA ROSA BEACH,FL,131.0,3.0,3AKBCXCY7GDHB9846,302RTC,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4017984,MA,20200812,1,RTE 95 S @ REST AREA,,NORTH ATTLEBOROUGH,MA,5.0,3.0,JALC4W169K7K00245,ZMB1736,5.0,2.0,0,1,1:18:COLLISION INVOLVING FIXED OBJECT;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4017985,MA,20200812,2,RTE 95 S @ REST AREA,,NORTH ATTLEBOROUGH,MA,5.0,3.0,4V4NC9EH4DN137651,929F36,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4028316,SC,20200904,1,I 20,,LEXINGTON,SC,63.0,5.0,1FVHCYCY0GHGY4867,P667283,6.0,3.0,0,2,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
4028317,SC,20200904,2,I 20,,LEXINGTON,SC,63.0,3.0,3AKJHHDR9JSJX4456,P970779,9.0,3.0,0,2,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4028735,WV,20200824,1,,,SHARON,WV,39.0,3.0,3AKJHHDR7LSLJ4510,P817297,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4028736,WV,20200824,2,,,SHARON,WV,39.0,3.0,1XKYDP9X7JJ135511,188802,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4031007,CT,20200917,1,84-W,,Manchester,CT,3.0,6.0,1FDUF5GT8FED34667,L24264,5.0,2.0,0,0,1:19:COLLISION WITH WORK ZONE MAINTENANCE EQUIPMENT;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4031008,CT,20200917,2,84-W,,Manchester,CT,3.0,6.0,1FDZA90W0SVA61945,L26657,6.0,2.0,0,0,1:19:COLLISION WITH WORK ZONE MAINTENANCE EQUIPMENT;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
4032288,NC,20200918,1,PENRY RD,,GREENSBORO,NC,81.0,98.0,1FUJA6CK37LX69949,JB61FE,8.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
